name,artist
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION"
Heavydirtysoul,Twenty One Pilots
SPIT IN MY FACE!,ThxSoMch
Everlong,Foo Fighters
snarky,quannnic
Mr. Rager,Kid Cudi
Спортивные очки,Buerak
aisatsana [102],Aphex Twin
Он уходил,Тяга
Что такое осень,ДДТ
В последнюю осень,ДДТ
А может просто негром стать,Глад Валакас
еще одна ночь,тринадцать карат
Perfect Sense,Arctic Monkeys
Nico and the Niners,Twenty One Pilots
Chlorine,Twenty One Pilots
Morph,Twenty One Pilots
Целовать другого,Ivan Dorn
Overcompensate,Twenty One Pilots
Северное сияние,Ivan Dorn
Die For You,Joji
Feeling Like The End,Joji
Glimpse of Us,Joji
There’d Better Be A Mirrorball,Arctic Monkeys
В этой траве,СЕРЕГА ПИРАТ
пунктир,вышел покурить
сладкое сердце,ooes
с кем бы я ни уснул,playingtheangel
a lot,21 Savage
HONEST,Baby Keem
Беларуская Песня (feat. Palina),"Intelligency, Palina"
Позови меня с собой,Palina
Можно я с тобой,AP$ENT
Looking Out for You,Joy Again
Starman - 2012 Remaster,David Bowie
Шиза,БРЕДИШЬ
The Sound of Silence - Acoustic Version,Simon & Garfunkel
Tejano Blue,Cigarettes After Sex
Just Like Heaven,The Cure
Eleanor Rigby - Remastered 2009,The Beatles
Call Me,Blondie
I'm Still Standing,Elton John
Everybody Wants To Rule The World,Tears For Fears
Опера #2,Vitas
В аквапарке,Kunteynir
Клан,Катя Самбука
Как в первый раз,Платина
Веном,"Платина, Big Baby Tape"
love,Tatli
Потеряла голову - opiumcore,Xdree
Fear,Current Joys
Behind Blue Eyes,The Who
Better,sign crushes motorist
Sextape,Deftones
пока он тебя не бросит,тринадцать карат
Show Me How,Men I Trust
Bags,Clairo
For the First Time,Mac DeMarco
запретить,SLAVA MARLOW
На Моей Луне,Мёртвые Дельфины
я очень устал,Pasosh
Stairway to Heaven - Remaster,Led Zeppelin
K.,Cigarettes After Sex
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti"
что для тебя красота,maslo chernogo tmina
Ржавый,Кишлак
PROBLEMATIC,"Kanye West, Ty Dolla $ign"
TALKING,"Kanye West, Ty Dolla $ign"
STARS,"Kanye West, Ty Dolla $ign"
Behind Blue Eyes,Limp Bizkit
Umbrella,"Rihanna, JAY-Z"
memories,leadwave
Nothing Can Be Explained (inst ver.),Shiro SAGISU
